variable,horizon,beta,ci_lo_90,ci_hi_90
IT_GAS_ELEC,14,2679.5410114518454,-1021.7630072788847,6380.845030182576
IT_GAS_ELEC,15,3027.7601423075575,623.5412310947313,5431.979053520384
IT_GAS_ELEC,16,883.9919783651334,-989.0976446297162,2757.081601359983
IT_GAS_ELEC,17,-2435.347694198841,-4231.766613171435,-638.9287752262471
IT_GAS_ELEC,18,-2594.7030429924052,-5060.767303808731,-128.63878217607908
IT_GAS_ELEC,19,-730.5878093742524,-2835.3552054748525,1374.179586726348
IT_GAS_ELEC,20,1157.166402509307,-1779.8266840531885,4094.1594890718025
IT_GAS_ELEC,21,1169.4998513988107,-455.2567106026984,2794.2564134003196
IT_GAS_ELEC,22,1167.7117000102185,-1361.4375528385758,3696.8609528590127
IT_GAS_ELEC,23,111.03046885438891,-1959.0714807315794,2181.132418440357
IT_GAS_ELEC,24,166.43387060726027,-3551.1352656488225,3884.003006863343
